hidden_layers,activation,learning_rate,alpha,batch_size,dev_rmse,n_iter
"(256,)",tanh,0.0005,0.0001,128,16.623724852130895,85
"(256,)",tanh,0.0005,0.001,32,16.68976167906401,62
"(256,)",tanh,0.0005,0.001,64,16.69914477275366,62
"(256,)",tanh,0.0005,0.001,128,16.623712211778738,85
"(256,)",tanh,0.0005,0.01,32,16.68935092137425,62
"(256,)",tanh,0.0005,0.01,64,16.698988470269956,62
"(256,)",tanh,0.0005,0.01,128,16.623585724233433,85
"(256,)",tanh,0.0005,0.1,32,16.684654836674028,62
"(256,)",tanh,0.0005,0.1,64,16.69747377649573,62
"(256,)",tanh,0.0005,0.1,128,16.622312244747942,85
"(256,)",tanh,0.001,0.0001,32,16.552514991338484,33
"(256,)",tanh,0.001,0.0001,64,16.746933566851478,62
"(256,)",tanh,0.001,0.0001,128,16.627112534738323,62
"(256,)",tanh,0.001,0.001,32,16.55246091208213,33
"(256,)",tanh,0.001,0.001,64,16.746897734095903,62
"(256,)",tanh,0.001,0.001,128,16.627107812614227,62
"(256,)",tanh,0.001,0.01,32,16.55192575996846,33
"(256,)",tanh,0.001,0.01,64,16.74653116206779,62
"(256,)",tanh,0.001,0.01,128,16.627062400162608,62
"(256,)",tanh,0.001,0.1,32,16.49984486570125,33
"(256,)",tanh,0.001,0.1,64,16.741913180180006,62
